universe,raw_ticker,yahoo_ticker,name,sector,location,exchange,currency,mapping_status
russell_2500_proxy,PR,PR,PERMIAN RESOURCES CLASS A,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,NTNX,NTNX,NUTANIX CLASS A,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,DINO,DINO,HF SINCLAIR,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,CHRW,CHRW,CH ROBINSON WORLDWIDE,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,ITT,ITT,ITT INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,OVV,OVV,OVINTIV,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,MTSI,MTSI,MACOM TECHNOLOGY SOLUTIONS,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,EWBC,EWBC,EAST WEST BANCORP,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,RBRK,RBRK,RUBRIK CLASS A,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,ZBRA,ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,SMTC,SMTC,SEMTECH,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,DT,DT,DYNATRACE INC,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,NDSN,NDSN,NORDSON,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,RVTY,RVTY,REVVITY,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,GEN,GEN,GEN DIGITAL,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,WCC,WCC,WESCO INTERNATIONAL,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,RGA,RGA,REINSURANCE GROUP OF AMERICA,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,MKSI,MKSI,MKS,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,APA,APA,APA,Energy,United States,NASDAQ,USD,mapped
russell_2500_proxy,CLH,CLH,CLEAN HARBORS INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,NLY,NLY,ANNALY CAPITAL MANAGEMENT REIT,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,IONQ,IONQ,IONQ,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,JLL,JLL,JONES LANG LASALLE,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,RBC,RBC,RBC BEARINGS,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,UNM,UNM,UNUM,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,STRL,STRL,STERLING INFRASTRUCTURE,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,EG,EG,EVEREST GROUP,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,U,U,UNITY SOFTWARE,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,NBIX,NBIX,NEUROCRINE BIOSCIENCES,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,KIM,KIM,KIMCO REALTY REIT CORP,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,ARMK,ARMK,ARAMARK,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,HST,HST,HOST HOTELS & RESORTS REIT,Real Estate,United States,NASDAQ,USD,mapped
russell_2500_proxy,LSCC,LSCC,LATTICE SEMICONDUCTOR,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,JAZZ,JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,EXEL,EXEL,EXELIXIS INC,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,PNFP,PNFP,PINNACLE FINANCIAL PARTNERS,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,SGI,SGI,SOMNIGROUP INTERNATIONAL,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,GFL,GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,Industrials,Canada,NYSE,USD,mapped
russell_2500_proxy,DOC,DOC,HEALTHPEAK PROPERTIES INC,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,MEDP,MEDP,MEDPACE HOLDINGS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,OHI,OHI,OMEGA HEALTHCARE INVESTORS REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,APG,APG,API GROUP,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,IREN,IREN,IREN,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,TXT,TXT,TEXTRON INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,AIZ,AIZ,ASSURANT INC,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,SN,SN,SHARKNINJA,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,SWK,SWK,STANLEY BLACK & DECKER INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,CACI,CACI,CACI INTERNATIONAL INC CLASS A,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,CRL,CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,RNR,RNR,RENAISSANCERE HOLDING,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,RIVN,RIVN,RIVIAN AUTOMOTIVE INC CLASS A,Consumer Discretionary,United States,NASDAQ,USD,mapped
russell_2500_proxy,LECO,LECO,LINCOLN ELECTRIC HOLDINGS,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,DOCU,DOCU,DOCUSIGN,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,SWKS,SWKS,SKYWORKS SOLUTIONS,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,PFGC,PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,GL,GL,GLOBE LIFE,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,ALB,ALB,ALBEMARLE CORP,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,BMNR,BMNR,BITMINE IMMERSION TECHNOLOGIES,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,BWXT,BWXT,BWX TECHNOLOGIES INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,SITM,SITM,SITIME,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,REG,REG,REGENCY CENTERS REIT CORP,Real Estate,United States,NASDAQ,USD,mapped
russell_2500_proxy,TLN,TLN,TALEN ENERGY CORP,Utilities,United States,NASDAQ,USD,mapped
russell_2500_proxy,AVY,AVY,AVERY DENNISON CORP,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,MLI,MLI,MUELLER INDUSTRIES INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,ALLE,ALLE,ALLEGION PLC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,BWA,BWA,BORGWARNER,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,GDDY,GDDY,GODADDY CLASS A,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,SJM,SJM,JM SMUCKER,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,SOLV,SOLV,SOLVENTUM,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,HALO,HALO,HALOZYME THERAPEUTICS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,FIVE,FIVE,FIVE BELOW,Consumer Discretionary,United States,NASDAQ,USD,mapped
russell_2500_proxy,DTM,DTM,DT MIDSTREAM,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,TOL,TOL,TOLL BROTHERS INC,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,GGG,GGG,GRACO,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,RPM,RPM,RPM INTERNATIONAL INC,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,HAS,HAS,HASBRO,Consumer Discretionary,United States,NASDAQ,USD,mapped
russell_2500_proxy,BMRN,BMRN,BIOMARIN PHARMACEUTICAL,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,LAMR,LAMR,LAMAR ADVERTISING COMPANY CLAS,Real Estate,United States,NASDAQ,USD,mapped
russell_2500_proxy,RL,RL,RALPH LAUREN CLASS A,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,ONTO,ONTO,ONTO INNOVATION,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,AA,AA,ALCOA CORP,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,CCK,CCK,CROWN HOLDINGS INC,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,NXT,NXT,NEXTPOWER INC,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,MANH,MANH,MANHATTAN ASSOCIATES,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,GWRE,GWRE,GUIDEWIRE SOFTWARE,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,IT,IT,GARTNER,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,EQH,EQH,EQUITABLE HOLDINGS,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,EHC,EHC,ENCOMPASS HEALTH,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,PEN,PEN,PENUMBRA,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,BJ,BJ,BJS WHOLESALE CLUB HOLDINGS,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,HL,HL,HECLA MINING,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,GNRC,GNRC,GENERAC HOLDINGS,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,ASND,ASND,ASCENDIS PHARMA,Health Care,Denmark,NASDAQ,USD,mapped
russell_2500_proxy,BAX,BAX,BAXTER INTERNATIONAL,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,WTRG,WTRG,ESSENTIAL UTILITIES INC,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,ELS,ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,TTMI,TTMI,TTM TECHNOLOGIES INC,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,AIT,AIT,APPLIED INDUSTRIAL TECHNOLOGIES,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,PNW,PNW,PINNACLE WEST,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,HUBS,HUBS,HUBSPOT,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,BBIO,BBIO,BRIDGEBIO PHARMA,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,AGNC,AGNC,AGNC INVESTMENT REIT,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,FHN,FHN,FIRST HORIZON,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,TECH,TECH,BIO TECHNE,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,COKE,COKE,COCA COLA CONSOLIDATED INC,Consumer Staples,United States,NASDAQ,USD,mapped
russell_2500_proxy,SF,SF,STIFEL FINANCIAL,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,ELAN,ELAN,ELANCO ANIMAL HEALTH,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,JKHY,JKHY,JACK HENRY AND ASSOCIATES INC,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,NWSA,NWSA,NEWS CLASS A,Communication,United States,NASDAQ,USD,mapped
russell_2500_proxy,ALLY,ALLY,ALLY FINANCIAL INC,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,QXO,QXO,QXO INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,UDR,UDR,UDR REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,TXRH,TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,United States,NASDAQ,USD,mapped
russell_2500_proxy,ARW,ARW,ARROW ELECTRONICS,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,GLPI,GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,United States,NASDAQ,USD,mapped
russell_2500_proxy,IVZ,IVZ,INVESCO LTD,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,HII,HII,HUNTINGTON INGALLS INDUSTRIES,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,CORT,CORT,CORCEPT THERAPEUTICS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,DOCN,DOCN,DIGITALOCEAN HOLDINGS,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,NYT,NYT,NEW YORK TIMES CLASS A,Communication,United States,NYSE,USD,mapped
russell_2500_proxy,EGP,EGP,EASTGROUP PROPERTIES REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,W,W,WAYFAIR CLASS A,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,SEIC,SEIC,SEI INVESTMENTS,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,WSO,WSO,WATSCO,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,CG,CG,CARLYLE GROUP INC,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,SCI,SCI,SERVICE,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,AR,AR,ANTERO RESOURCES,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,AES,AES,AES,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,KNX,KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,MOH,MOH,MOLINA HEALTHCARE INC,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,AMH,AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,AVTR,AVTR,AVANTOR,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,DAR,DAR,DARLING INGREDIENTS,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,BPOP,BPOP,POPULAR,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,CLX,CLX,CLOROX,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,MTCH,MTCH,MATCH GROUP INC,Communication,United States,NASDAQ,USD,mapped
russell_2500_proxy,BXP,BXP,BXP,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,CGNX,CGNX,COGNEX,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,FDS,FDS,FACTSET RESEARCH SYSTEMS,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,AHR,AHR,AMERICAN HEALTHCARE REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,QRVO,QRVO,QORVO,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,SSB,SSB,SOUTHSTATE BANK CORP,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,LFUS,LFUS,LITTELFUSE,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,CPT,CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,DCI,DCI,DONALDSON,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,OC,OC,OWENS CORNING,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,ALSN,ALSN,ALLISON TRANSMISSION HOLDINGS,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,FROG,FROG,JFROG,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,ENSG,ENSG,ENSIGN GROUP,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,SANM,SANM,SANMINA,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,MOG A,MOG-A,MOOG INC CLASS A,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,WTFC,WTFC,WINTRUST FINANCIAL,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,RRX,RRX,REGAL REXNORD,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,TWST,TWST,TWIST BIOSCIENCE,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,PODD,PODD,INSULET,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,CR,CR,CRANE,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,UMBF,UMBF,UMB FINANCIAL,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,ARE,ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,AEIS,AEIS,ADVANCED ENERGY INDUSTRIES,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,FRT,FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,MOD,MOD,MODINE MANUFACTURING,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,OGE,OGE,OGE ENERGY,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,MDGL,MDGL,MADRIGAL PHARMACEUTICALS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,WTS,WTS,WATTS WATER TECHNOLOGIES CLASS A,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,AFG,AFG,AMERICAN FINANCIAL GROUP,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,BAH,BAH,BOOZ ALLEN HAMILTON HOLDING CLASS,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,RGEN,RGEN,REPLIGEN,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,CFR,CFR,CULLEN FROST BANKERS,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,FLS,FLS,FLOWSERVE,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,TTEK,TTEK,TETRA TECH,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,GME,GME,GAMESTOP CLASS A,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,RMBS,RMBS,RAMBUS,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,AXSM,AXSM,AXSOME THERAPEUTICS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,PRI,PRI,PRIMERICA,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,UHS,UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,PAYC,PAYC,PAYCOM SOFTWARE,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,ORI,ORI,OLD REPUBLIC INTERNATIONAL,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,VOYA,VOYA,VOYA FINANCIAL,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,ARWR,ARWR,ARROWHEAD PHARMACEUTICALS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,QGEN,QGEN,QIAGEN,Health Care,Germany,NYSE,USD,mapped
russell_2500_proxy,RRC,RRC,RANGE RESOURCES,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,WMS,WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,SAIA,SAIA,SAIA INC,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,CUBE,CUBE,CUBESMART REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,HUT,HUT,HUT CORP,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,AMG,AMG,AFFILIATED MANAGERS GROUP,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,AYI,AYI,ACUITY,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,OSK,OSK,OSHKOSH CORP,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,GKOS,GKOS,GLAUKOS,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,R,R,RYDER SYSTEM,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,PINS,PINS,PINTEREST CLASS A,Communication,United States,NYSE,USD,mapped
russell_2500_proxy,VSAT,VSAT,VIASAT INC,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,VMI,VMI,VALMONT INDS,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,PNR,PNR,PENTAIR,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,BTSG,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,CYTK,CYTK,CYTOKINETICS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,BEN,BEN,FRANKLIN TEMPLETON,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,TXG,TXG,10X GENOMICS CLASS A,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,DPZ,DPZ,DOMINOS PIZZA,Consumer Discretionary,United States,NASDAQ,USD,mapped
russell_2500_proxy,KTOS,KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,TTC,TTC,TORO,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,FCFS,FCFS,FIRSTCASH HOLDINGS INC,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,SM,SM,SM ENERGY,Energy,United States,NYSE,USD,mapped
russell_2500_proxy,SPXC,SPXC,SPX TECHNOLOGIES INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,MUSA,MUSA,MURPHY USA,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,REXR,REXR,REXFORD INDUSTRIAL REALTY REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,TEM,TEM,TEMPUS AI CLASS A,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,COLB,COLB,COLUMBIA BANKING SYSTEM INC,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,TIGO,TIGO,MILLICOM INTERNATIONAL CELLULAR,Communication,Sweden,NASDAQ,USD,mapped
russell_2500_proxy,ONB,ONB,OLD NATIONAL BANCORP,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,CRBG,CRBG,COREBRIDGE FINANCIAL INC,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,FORM,FORM,FORMFACTOR INC,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,KRYS,KRYS,KRYSTAL BIOTECH,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,PTGX,PTGX,PROTAGONIST THERAPEUTICS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,EVR,EVR,EVERCORE CLASS A,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,BRX,BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,DY,DY,DYCOM INDUSTRIES INC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,WAL,WAL,WESTERN ALLIANCE,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,AAL,AAL,AMERICAN AIRLINES GROUP,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,ZION,ZION,ZIONS BANCORPORATION,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,HSIC,HSIC,HENRY SCHEIN,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,EAT,EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,CTRE,CTRE,CARETRUST REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,GMED,GMED,GLOBUS MEDICAL CLASS A,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,KMX,KMX,CARMAX INC,Consumer Discretionary,United States,NYSE,USD,mapped
russell_2500_proxy,CHRD,CHRD,CHORD ENERGY,Energy,United States,NASDAQ,USD,mapped
russell_2500_proxy,FR,FR,FIRST INDUSTRIAL REALTY TRUST,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,UGI,UGI,UGI,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,ACM,ACM,AECOM,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,XP,XP,XP CLASS A INC,Financials,Brazil,NASDAQ,USD,mapped
russell_2500_proxy,VNOM,VNOM,VIPER ENERGY INC CLASS A,Energy,United States,NASDAQ,USD,mapped
russell_2500_proxy,IDCC,IDCC,INTERDIGITAL INC,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,ESTC,ESTC,ELASTIC,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,MOS,MOS,MOSAIC,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,PB,PB,PROSPERITY BANCSHARES,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,ADC,ADC,AGREE REALTY REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,CNM,CNM,CORE & MAIN INC CLASS A,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,VIAV,VIAV,VIAVI SOLUTIONS,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,ATR,ATR,APTARGROUP,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,CHYM,CHYM,CHIME FINANCIAL CLASS A,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,THG,THG,HANOVER INSURANCE GROUP,Financials,United States,NYSE,USD,mapped
russell_2500_proxy,RHP,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,United States,NYSE,USD,mapped
russell_2500_proxy,TGTX,TGTX,TG THERAPEUTICS,Health Care,United States,NASDAQ,USD,mapped
