universe,raw_ticker,yahoo_ticker,name,sector,location,exchange,currency,mapping_status
russell_2500_proxy,ATI,ATI,ATI,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,FFIV,FFIV,F5,Information Technology,United States,NASDAQ,USD,mapped
russell_2500_proxy,NVT,NVT,NVENT ELECTRIC PLC,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,GH,GH,GUARDANT HEALTH,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,THC,THC,TENET HEALTHCARE CORP,Health Care,United States,NYSE,USD,mapped
russell_2500_proxy,RGLD,RGLD,ROYAL GOLD,Materials,United States,NASDAQ,USD,mapped
russell_2500_proxy,SOFI,SOFI,SOFI TECHNOLOGIES,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,CDE,CDE,COEUR MINING,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,PKG,PKG,PACKAGING CORP OF AMERICA,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,RS,RS,RELIANCE STEEL & ALUMINUM,Materials,United States,NYSE,USD,mapped
russell_2500_proxy,SNX,SNX,TD SYNNEX,Information Technology,United States,NYSE,USD,mapped
russell_2500_proxy,USFD,USFD,US FOODS HOLDING,Consumer Staples,United States,NYSE,USD,mapped
russell_2500_proxy,ROKU,ROKU,ROKU CLASS A,Communication,United States,NASDAQ,USD,mapped
russell_2500_proxy,VTRS,VTRS,VIATRIS,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,AFRM,AFRM,AFFIRM HOLDINGS CLASS A,Financials,United States,NASDAQ,USD,mapped
russell_2500_proxy,CRS,CRS,CARPENTER TECHNOLOGY,Industrials,United States,NYSE,USD,mapped
russell_2500_proxy,NI,NI,NISOURCE,Utilities,United States,NYSE,USD,mapped
russell_2500_proxy,ROIV,ROIV,ROIVANT SCIENCES LTD,Health Care,United States,NASDAQ,USD,mapped
russell_2500_proxy,WWD,WWD,WOODWARD,Industrials,United States,NASDAQ,USD,mapped
russell_2500_proxy,SNA,SNA,SNAP ON INC,Industrials,United States,NYSE,USD,mapped
